model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mae,0.4010601324811153
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mse,0.25782945405946595
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,r2,0.35632736314024527
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,rho,0.6085538481906103
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mae,0.389359200953183
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mse,0.25376003256117374
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,r2,0.29515304496794903
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,rho,0.5758792828494773
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mae,0.40065545156857435
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mse,0.2597565621886382
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,r2,0.3936596334769801
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,rho,0.6207694844936862
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mae,0.40031805592387576
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mse,0.26277127524954336
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,r2,0.342244811019231
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,rho,0.6145202836408867
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mae,0.3682768831261383
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mse,0.21898433627603656
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,r2,0.39605713981812474
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,rho,0.6174150235692983
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mae,0.3894951790404083
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mse,0.2399175656519993
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,r2,0.40582299688701995
