model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mae,0.35137627818896666
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mse,0.284996515066465
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,r2,0.3452705520662478
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,rho,0.5049748767818681
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mae,0.39037726918644566
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mse,0.31968683614866494
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,r2,0.20665727077158247
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,rho,0.4572999875328645
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mae,0.3719685427088184
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mse,0.2751336730796706
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,r2,0.3290216830350208
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,rho,0.41909286210304025
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mae,0.41444515819017363
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mse,0.3685615823614008
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,r2,0.2794839189935099
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,rho,0.49295869820313354
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mae,0.3872473507372273
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mse,0.33353248538821734
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,r2,0.22421233673030427
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,rho,0.42074200246900667
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mae,0.4347017541914933
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mse,0.32976724944260827
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,r2,0.18545821695288445
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,rho,0.40289932389014427
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mae,0.3903114903541716
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mse,0.33289661055663455
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,r2,0.1661894156737368
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,rho,0.43007428356243477
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mae,0.3292488650438267
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mse,0.2561767984604574
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,r2,0.30363601753030833
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,rho,0.4255085949897437
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mae,0.370828634905691
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mse,0.32471290160011146
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,r2,0.2631376396299149
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,rho,0.4555332639330437
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mae,0.47370513613958853
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mse,0.44479498455891003
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,r2,0.21347464220269474
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,rho,0.4549954729762069
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mae,0.3543288039680184
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mse,0.293637516750903
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,r2,0.25337880439933924
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,rho,0.5382861766532558
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mae,0.3549262225174377
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mse,0.27750387482493866
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,r2,0.2940357677119586
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,rho,0.4393029978505023
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mae,0.3669834058905294
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mse,0.2974028201970329
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,r2,0.375070764273679
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,rho,0.4624984954605378
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mae,0.40391264190569864
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mse,0.3217757621593285
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,r2,0.16098828704785517
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,rho,0.4112302352966126
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mae,0.4418655045329356
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mse,0.4127031978398538
