model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mae,0.06674423378330947
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mse,0.010598706497474178
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,r2,0.8948436130956059
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,rho,0.9484053770482109
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mae,0.07183944356798325
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mse,0.011258209207932527
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,r2,0.8847745799021924
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,rho,0.9401152027338717
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mae,0.0731388920665734
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mse,0.011367360313572814
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,r2,0.8869064363734088
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,rho,0.9444809954979874
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mae,0.07352756150233433
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mse,0.011259927718236635
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,r2,0.88157791404176
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,rho,0.9389634211342305
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mae,0.07090146314180815
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mse,0.01075767911191305
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,r2,0.8854507703294342
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,rho,0.9419153676461011
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mae,0.06972292175479393
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mse,0.010175851718919804
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,r2,0.8965726455789422
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,rho,0.9447361485590196
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mae,0.07101561885383993
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mse,0.011323990770381796
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,r2,0.8842848763583313
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,rho,0.9418828520401875
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mae,0.07187936415348975
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mse,0.0114970351527652
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,r2,0.8800510308091639
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,rho,0.9401288873372032
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mae,0.06959218678040409
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mse,0.01040546629817862
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,r2,0.8926973034581804
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,rho,0.9460105928678143
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mae,0.07402303187212518
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mse,0.012529099854724746
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,r2,0.8731915926907828
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,rho,0.9369470517281342
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mae,0.07241994184099032
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mse,0.011266282426898939
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,r2,0.8819205817978324
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,rho,0.9395791532762618
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mae,0.07027572278562812
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mse,0.010780619469249731
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,r2,0.8866204942000272
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,rho,0.942221586554798
