model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mae,0.49164867469242635
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,mse,0.45158469463050493
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,r2,0.6873799320860924
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,0,rho,0.8192603203164601
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mae,0.5437917023613339
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,mse,0.5258119418224132
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,r2,0.6498494519511218
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,1,rho,0.7837252084090425
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mae,0.5303414263044085
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,mse,0.4752236696331052
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,r2,0.6623196313004485
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,2,rho,0.805642520209417
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mae,0.4789510893821716
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,mse,0.4119847022945408
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,r2,0.7236249417533671
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,3,rho,0.844759778936323
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mae,0.5143610354832241
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,mse,0.498265071562778
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,r2,0.6421041215564152
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,4,rho,0.7894980522785094
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mae,0.5062612641425359
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,mse,0.4637858407173071
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,r2,0.6826597473605769
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,5,rho,0.7905008826885671
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mae,0.49961493282091046
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,mse,0.4871524901472944
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,r2,0.6658151677613298
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,6,rho,0.8155446965345325
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mae,0.5046690726422128
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,mse,0.4453959000479169
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,r2,0.6709286575775747
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,7,rho,0.7975014117950533
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mae,0.513385466166905
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,mse,0.48273544127130513
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,r2,0.661027475772882
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,8,rho,0.8034815859487956
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mae,0.5024555419456391
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,mse,0.45602818746874163
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,r2,0.7029407276225266
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,9,rho,0.8229816817438355
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mae,0.5061778322855632
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,mse,0.4755646377814185
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,r2,0.6721834314158686
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,10,rho,0.8001039706162294
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mae,0.5080178901127406
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,mse,0.4735183608059941
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,r2,0.6532102744571817
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,11,rho,0.8012098297998481
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mae,0.49295005979992096
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,mse,0.44287280830870657
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,r2,0.6993450167889219
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,12,rho,0.8160112515257634
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mae,0.5067661188329969
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,mse,0.49281499683302055
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,r2,0.6527630624720189
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,13,rho,0.8114416255172779
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mae,0.4918779224441165
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,mse,0.42984506663027794
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,r2,0.7179905943729943
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,14,rho,0.8322597101787587
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,mae,0.5011026073637462
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,mse,0.4530800552221658
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,r2,0.678720248027388
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,15,rho,0.7965718095924704
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,mae,0.4818498829432896
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,mse,0.44024610190875046
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,r2,0.6946984007303345
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,16,rho,0.8118891250115076
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,mae,0.49672569729032967
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,mse,0.44788727738741135
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,r2,0.7118386785358946
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,17,rho,0.8393783083899181
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,mae,0.5068092473347983
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,mse,0.4757497903438662
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,r2,0.6330273225981375
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,18,rho,0.7927115038221643
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,mae,0.502418628136317
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,mse,0.4641300802355661
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,r2,0.6953752591068616
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,19,rho,0.8231520076447207
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,mae,0.5003479713485355
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,mse,0.4685333070838201
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,r2,0.6741126981872901
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,20,rho,0.8067662460826595
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,mae,0.5094061930832409
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,mse,0.45132714135185603
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,r2,0.6747056832300293
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,21,rho,0.8072209426236711
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,mae,0.5373339076269241
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,mse,0.4943045200955956
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,r2,0.6697578793042707
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,22,rho,0.7906716191614751
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,mae,0.5182768703074682
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,mse,0.4690310881914706
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,r2,0.686747726587115
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,23,rho,0.8131049813515385
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,mae,0.5152038089434305
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,mse,0.5148803153740192
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,r2,0.6377475609766043
fabikru/model_15M_medium_ds_masking_30_predicted_hparams,24,rho,0.8039135653062132
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,mae,0.8403739781606765
fabikru/model_15M_medium_ds_masking_0.4_explicit_hs_predicted_hparamas,0,mse,1.1564660735871113
