model,fold,metric_name,value
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mae,0.4086214463033706
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mse,0.2536169318260756
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,r2,0.3668439478481015
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,rho,0.6000095804761619
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mae,0.42181662021000543
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mse,0.2995036559862328
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,r2,0.168094999783024
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,rho,0.5018071065189876
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mae,0.3955829591534048
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mse,0.25937598887041646
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,r2,0.3945479920359136
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,rho,0.6344433288236716
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mae,0.4458730553942269
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mse,0.3083416361347761
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,r2,0.22817548853517
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,rho,0.5216179730761024
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mae,0.42714626010245915
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mse,0.27555897420100905
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,r2,0.2400284063333139
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,rho,0.49838045970796085
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mae,0.3810250660058474
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mse,0.24300286767816143
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,r2,0.3981819744107312
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,rho,0.628068025057337
