model,fold,metric_name,value
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mae,0.07912179242559664
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mse,0.013621382458066694
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,r2,0.8648537569868038
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,rho,0.9317018503168258
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mae,0.07990867347227923
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mse,0.013297735739075339
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,r2,0.8639004517872193
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,rho,0.9299368322347242
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mae,0.08335586572581846
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mse,0.014359999580311983
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,r2,0.8571327483765316
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,rho,0.9292659517978556
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mae,0.07880385178739005
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mse,0.012920981408345428
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,r2,0.8641084019992689
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,rho,0.9294402688968638
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mae,0.07903228185097522
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mse,0.012800108765491374
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,r2,0.8637027017135344
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,rho,0.9289490717869082
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mae,0.07670492925626443
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mse,0.01212087456691487
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,r2,0.8768034338202241
