model,fold,metric_name,value
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mae,0.5430382063842953
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,mse,0.5169892293634235
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,r2,0.6421021130342035
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,0,rho,0.7862638439723425
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mae,0.6201848432279768
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,mse,0.6720332193459035
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,r2,0.5524772616509073
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,1,rho,0.7130708373349213
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mae,0.5683924686482975
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,mse,0.527632006258071
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,r2,0.6250797639173448
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,2,rho,0.7791899014863907
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mae,0.5268341314970028
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,mse,0.4824067397129377
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,r2,0.6763831519855488
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,3,rho,0.8098030526281209
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mae,0.5567170180451303
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,mse,0.5398387599134257
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,r2,0.6122424022395712
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,4,rho,0.7604753857557245
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mae,0.5661270418497069
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,mse,0.5689044407429183
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,r2,0.6107335259010412
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,5,rho,0.7424982352993302
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,6,mae,0.574067000917026
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,6,mse,0.6176213583641283
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,6,r2,0.576313999812401
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,6,rho,0.7490173212381102
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,7,mae,0.54276949336841
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,7,mse,0.49055740098104816
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,7,r2,0.6375620375968378
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,7,rho,0.7760560405475854
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,8,mae,0.5810713955618086
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,8,mse,0.5712667210918613
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,8,r2,0.5988616001644961
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,8,rho,0.7512428867875388
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,9,mae,0.5279119194316723
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,9,mse,0.47572705832342443
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,9,r2,0.6901087746784973
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,9,rho,0.813187334192074
fabikru/model_5M_medium_ds_masking_30_bs_1028_lr0001,10,mae,0.5747953476224628
