model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.5269920622951464
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3824744181486235
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.04515053115559131
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.20090099390417224
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4906151833290751
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.3362243807873846
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.06609906763629292
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.29463319004262023
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.49002670733640064
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.36569001855417294
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.14638299022866486
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.3907477376406853
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.5066060732977337
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.3769884143220411
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.05634249607202646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.3384552776799278
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4774582603381808
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.3214361404137161
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.11350252119139304
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.3694383638625827
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.4903272741186106
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.3511910972010428
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.13024428583294945
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.3676717375073675
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.5223337270154144
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.3851703283270914
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.05046471222094173
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.28869817580135165
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.48491088056573045
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.3460186041922818
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.08117186912701835
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.35610442146972265
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.5199807161102614
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.37158139223742465
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.07424818045823944
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.29187241306447886
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.4920737004282716
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.3562353993629068
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.02523556581583908
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.24259217074489048
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.503466537684951
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3639932935649709
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.03944517958418092
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.2842849549475885
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.5372650447787637
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.40606331760939274
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.0736655414975822
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.30759174316086635
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.48945728190261983
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.34391980090399865
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.07987600698383379
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.3150914813357336
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.4778550996776922
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.3338661210598088
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.06784583310507297
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.30587069360133856
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.502329073583667
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.3708507229613591
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.07906994636509401
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.34336162349356736
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.5105454833887939
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,0.3632476563599612
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.04373541185455654
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.22178672054080964
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.4906158666842127
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,0.34599658170265896
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,r2,0.05032104296067874
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,rho,0.3220412959275235
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mae,0.5115924906227213
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mse,0.37396387643799917
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,r2,0.04686854545301089
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,rho,0.2906350006511063
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mae,0.49579885205718743
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mse,0.3509871821793181
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,r2,0.10206656356470556
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,rho,0.33853851398103396
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mae,0.5180554605187475
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mse,0.38628119858448434
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,r2,0.08581350357700568
