model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.4336265366840473
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3152668446977669
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.21048489562543682
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.4951662299498117
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4581624070185219
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.34174245722799207
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.2014910915563377
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.4701784544048813
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.46156000872245956
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.34073750905475103
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.23025915507860995
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.489225926558346
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.4816320517754223
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.37748868966428556
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.272390308708641
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.5214865645530463
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.47157060142172047
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.3567103435198037
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.22534316269712684
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.5044687733578427
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.46778273230524103
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.36437001751419623
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.22336934130166541
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.507530081965706
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.4506820577807671
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.35862350523034225
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.2551815294456766
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.5433935822832326
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.47089543298266634
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.3445805007592437
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.16573370855490044
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.43874673601647696
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.4547103542812527
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.33883783942504364
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.17184965865310986
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.47152078160492705
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.4420437374970142
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.3289664357733135
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.29781926592979024
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.5637879173843515
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.4872980699641637
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3612986213875423
