model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.4659101915716528
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.4164316528147262
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.04332140311982402
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.22521302404540205
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.46311321909284553
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.38370867891357086
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.04777908835645339
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.14219613788149463
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.43756748223106334
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.3952581070773484
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.036069934715966645
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.28773724763325653
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.48161247839011295
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.46813154825260833
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.0848305285065577
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.2790059316008292
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4475657485649297
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.41044718545713804
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.045310796245859875
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.30913454802239226
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.44076320912562844
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.37461655815254624
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.0746781563290011
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.28002722481820835
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.4536634075356151
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.3559236465456472
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.10851329124220244
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.22427939142209052
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.42886772163977305
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.333838410511374
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.09252888457447117
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.29670397282622524
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.4788465620434282
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.46391641506243
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,-0.05275319500028419
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.1688226362578498
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.5084412559239243
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.5148181350690838
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.08965358886117569
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.2633827948290544
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.4434769475372273
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3858868280846979
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.01881991055130461
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.28029132904553533
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.46665767325790386
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.35987676571136973
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.08448080307346162
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.22226049870086395
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.47421532518266923
