model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.18545547955489117
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.05582093536604556
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.4461656355786484
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.6705081958637156
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.16821543354833718
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.04665624766889406
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.5224830487207721
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.7266842683948834
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.13673445442120477
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.03281042265282998
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.6735699828681774
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.823989223399058
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.14783393653253266
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.03688705107690914
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.6120542118311383
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.781625803792621
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.13458542703272222
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.03184955922897659
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.6608615634401889
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.8208561768626244
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.16221898792339087
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.04370377592628508
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.5557948320078105
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.73766707543707
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.1736560132580701
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.049514862809155485
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.49402833433530646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.7071183069869381
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.1772003242338876
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.05190862422411733
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.4584355109760796
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.6766411074335131
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.1802204753139358
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.05142265846505553
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.4697219943314489
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.6870028405314912
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.15517566429753588
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.0417180908913225
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.5777665815381923
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.7615347944937443
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.1455763994868237
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.03732180558308438
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.6088383973951176
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.7920249234725864
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.1754476585178457
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.050350483152295455
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.4704652257803503
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.6793200323033312
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.16814325715509507
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.0467611763922202
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.5256395957712499
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.7337398781088605
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.17486452732482333
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.050511630449139144
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.5126212481508312
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.7249070952663286
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.18151821957635939
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.05203782923952721
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.4541860265953437
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.6625313137213771
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.1399158765027344
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,0.03484416278764619
