model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.806710540453593
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,1.0914228882647985
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.24443697603323045
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.5136753298472672
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.8852315527342615
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,1.2417163864284402
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.1731118321081504
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.41791578547708697
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.7913440416540418
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,1.012765931214776
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.2803574507915748
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.5466624766300702
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.8090726387997468
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,1.0702243985340385
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.2820526373080047
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.527961913795953
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.8226881150404614
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,1.0977568218390101
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.21149872930635516
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.45300461042797474
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.8934765410990944
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,1.2412533529660865
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.1506863339972384
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.39278860404803234
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.8027972477958316
