model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.5144230932287126
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3713153560400073
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.07300919051061638
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.3035105926011357
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.47564160011683054
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.33957219600620997
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.05680013533721162
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.34189819511163366
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.5142054481082223
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.38978233839125737
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.09014515770838771
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.313422564284454
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.5074533697923097
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.38735662257018383
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.030389344346547165
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.33621509563544966
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.5205400050160164
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.3575701681184189
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.013847502878298279
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.15060761975517772
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.48155972030577954
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.3575121601442471
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.11458961617224828
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.3698483766042729
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.49787966196362826
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.3668633431722982
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.09559572865417432
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.3543234046232349
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.45521515642401816
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.32372420423424136
