model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.4337779171384526
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3192553313242055
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.20049662540885882
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.4932674259529209
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4470403844740329
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.3187467203665943
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.2552224917721503
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.49847274593551555
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.4487543714752991
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.3262052134848987
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.26308824249436624
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.5232684663223279
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.4906890066411583
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.3812862548332981
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.2650704994111984
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.5083259327399258
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.49033730122433034
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.3582008481809198
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.22210627975346953
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.47599682960805195
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.45052525521596515
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.3336402254954746
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.2888678660704679
