model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.43821030639965897
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.36744917230709745
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.15585005075506386
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.2703453684071179
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4246889399492158
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.3573195910696245
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.11326689894064979
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.27377404635801145
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.45634711608076256
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.3909568232418305
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.04655962925767676
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.23368588370085183
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.48499170613429393
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.4455297006631258
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.12901580290314785
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.30485934127939013
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4315823587001436
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.4057466752010756
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.05624405770457941
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.2719980983278278
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.4791620089427483
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.3935906817031889
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.027811111603304406
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.21420168721362162
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.4486163694990996
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.3725491722670317
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.06687111503229903
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.22880582613354156
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.4400511106333166
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.3552340407507144
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.034369260555218495
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.18164402307022526
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.4516323586117857
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.43131196905471814
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.021235208064120714
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.27971702903535195
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.5007535834874012
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.467459583681108
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.17339711760651022
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.41508185949390586
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.4326776985054812
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.37333971198287647
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.05072299612748854
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.31790834214001373
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.4100569766202026
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.31349286821441924
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.2024804980601319
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.3193930637959014
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.49163124743269687
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.4586056802867706
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.03633698869604618
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.17421082367116902
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.4350479782866219
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.35563267870577914
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.07270833284530753
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.26865998703010224
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.5084918706868068
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.4752829248161533
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.11011629027860648
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.3338740905053921
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.4991129733983601
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,0.461824030666728
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.07707743147980395
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.2602317514809247
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.44304425237022704
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,0.4142925201067769
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,r2,0.08331303426666137
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,rho,0.3100591173047009
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mae,0.45976342648604646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mse,0.3858863785210734
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,r2,0.08956073252378571
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,rho,0.2873348820864575
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mae,0.48939441315174964
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mse,0.4119851560055965
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,r2,0.10659447949275325
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,rho,0.2666178043573141
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mae,0.4328063477114363
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mse,0.338739076637229
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,r2,0.03169310654608937
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,rho,0.2724443835015096
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mae,0.44671361982055646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mse,0.39612814196781265
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,r2,0.0982115924461493
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,rho,0.35146310503350703
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mae,0.45782232773622594
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mse,0.4078973011020576
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,r2,0.08666116546717018
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,rho,0.2641946269428081
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mae,0.4688205685767424
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mse,0.41860170087623
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,r2,0.0016686607229224881
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,rho,0.2847901012566659
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mae,0.46978174080330076
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mse,0.41237946791025304
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,r2,0.15053012796725118
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,rho,0.3052244885243256
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mae,0.4337597073010916
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mse,0.3669081006832215
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,r2,0.06600152353741284
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,rho,0.27407257655919137
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mae,0.41954003324732825
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mse,0.3299559167692017
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,r2,0.2419842215319966
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,rho,0.3640358572824897
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mae,0.4375724049271269
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mse,0.3738167574089451
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,r2,0.07232712448560963
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,rho,0.2546792940077978
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mae,0.45205996696985123
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mse,0.3883001486697435
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,r2,0.05303855643932509
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,rho,0.2837529574962076
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mae,0.4920739761743284
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mse,0.4562982210634932
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,r2,0.10796398283172481
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,rho,0.30685044978087694
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mae,0.442271871550134
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mse,0.39020303948901724
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,r2,0.09239813970872812
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,rho,0.3780545043344526
