model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.17182201390974247
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.049143728527730246
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.5124143750732163
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.7157691934179102
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.1398237181647784
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.03440499837173615
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.6478720267469877
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.8117602648422549
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.15604173154254186
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.04099948775797353
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.5920971932351229
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.7670364518158892
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.15043760355376734
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.03908223356686512
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.5889671995496508
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.769277907262601
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.13679966460450374
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.032930719692727456
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.6493492198403704
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.8107694791982151
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.13568509036036766
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.03203564190377695
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.6743897434032426
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.8202166914575241
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.1414040393817694
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.035482599220811
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.6374181647425087
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.8014969641485244
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.12950462533674667
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.030959545923379975
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.6769979763667493
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.8312387943910117
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.15680465814291009
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.04156283358665335
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.5713979564233989
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.7588072258964949
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.13415001239328303
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.03171986495722524
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.6789597335859408
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.8268779106236934
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.17857307473231032
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.05162213489012555
