model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.80247682480585
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,1.0742759304070015
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.2563073586962378
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.5006282413126908
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.9071441269488562
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,1.2729843524777096
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.15228975756458063
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.39345828865736265
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.7555702890668596
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.9148346549205952
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.3499446191070079
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.5825870816686133
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.8303495875852449
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,1.0718126100695269
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.28098720440920055
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.5161722240729159
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.7814745878037952
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.9883680522825637
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.29007094318736504
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.5315850410479613
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.8045447550501142
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,1.0627603658385365
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.27281815574888135
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.5232782588576048
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.8431601129259383
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,1.1779534573183812
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.19192822272163612
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.4463726999655293
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.7721973596868061
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.9554410342138779
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.29409259559774503
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.5458298075663734
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.8175701976957777
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,1.1048250361831224
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.22420170692660635
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.49631538864750135
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.7406269446724937
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.9232629749052796
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.3985814143183348
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.6072552191714947
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.810965358189174
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,1.0392227824333127
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.2836421813845533
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.5393833870677042
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.8211903522128151
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,1.1033251196604783
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.1919599172875176
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.43027918574711427
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.8880349813188825
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,1.235335140655157
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.1613626779388132
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.38818503132963766
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.7630398715110054
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.9649772712659613
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.32007801180605444
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.5775293357866131
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.7717903048651558
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.9745593958603904
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.36061865702137774
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.5937548560539432
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.8409991309756325
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,1.1397890859052715
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.1917738364334407
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.45133267237228164
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.82270926350639
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,1.1004736297847943
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,r2,0.23684421583583026
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,rho,0.48076908016300873
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mae,0.8006551804996672
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mse,1.0340391457272384
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,r2,0.33472080650185765
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,rho,0.5587960359192614
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mae,0.7582601414975665
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mse,0.9381627992730885
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,r2,0.27634205778791854
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,rho,0.5219239461946287
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mae,0.7765847172907423
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mse,0.9837324760091242
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,r2,0.3543421049970521
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,rho,0.5703207039151056
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mae,0.7927498520272118
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mse,1.0272847071286948
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,r2,0.28547440205838215
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,rho,0.5255014583912831
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mae,0.7895197123856771
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mse,1.0223488581072326
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,r2,0.2631414270756569
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,rho,0.4885680258161414
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mae,0.7424362822941372
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mse,0.887606023517637
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,r2,0.4069953163849701
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,rho,0.596947591593336
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mae,0.7907841187431699
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mse,1.1088393849126008
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,r2,0.2594383039449585
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,rho,0.5552453793062331
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mae,0.8721021452404204
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mse,1.2077204720953258
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,r2,0.15028857462299727
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,rho,0.3759183450796023
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mae,0.8082925533113026
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mse,1.084848256798356
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,r2,0.24898841845363828
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,rho,0.5256470123886613
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mae,0.7904270052058356
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mse,1.0288431949780612
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,r2,0.31486910067250373
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,rho,0.5649684558881809
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mae,0.7803797830854142
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mse,0.9748403383025294
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,r2,0.3073062940755046
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,rho,0.5523304803175061
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mae,0.7236301072438558
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mse,0.86543287075436
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,r2,0.41943460829696855
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,rho,0.6444262796117426
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mae,0.7837301249731153
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mse,1.0257773447015432
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,r2,0.2632004432539642
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,rho,0.5429573610052061
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,mae,0.7328265337149302
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,mse,0.9241107955388295
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,r2,0.3676875670254438
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,rho,0.591198111567522
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,mae,0.7606296795322781
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,mse,0.9672628349571329
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,r2,0.33646122155074165
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,rho,0.591964372091784
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,mae,0.786208705646651
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,mse,0.9897547663508911
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,r2,0.2687406202054353
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,rho,0.5005776417737443
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,mae,0.7444404829116095
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,mse,0.9169118676537567
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,r2,0.35615265899294934
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,rho,0.6181553143007305
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,9,mae,0.7902946226369768
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,9,mse,0.9977479959004268
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,9,r2,0.3500614614999449
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,9,rho,0.5921980990026497
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,10,mae,0.7758222716195242
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,10,mse,0.9938376021441654
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,10,r2,0.31492712749906815
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,10,rho,0.5706920929957272
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,11,mae,0.7472516628106435
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,11,mse,0.9268886605010328
