model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.5190895173091046
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3731164150003756
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.0685128370028717
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.2712413246039929
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.480046824687561
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.3441411519083022
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.04410934781341547
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.35941596197585324
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.5092335844156434
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.39116301171399176
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.08692230181015104
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.33018699736115553
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.5178167771006236
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.38699608197928664
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.03129183052687878
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.302680107341192
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4748729617749724
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.32714473065858557
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.09775864480862317
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.3611450327555522
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.48405019588735043
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.34650579502572504
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.14184784973892484
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.4197616169079111
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.4979141981588428
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.367713333913639
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.0935003019199967
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.35355189769784606
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.48333984211303904
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.33156161063573747
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.11956140138529192
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.371056923020357
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.5071095193465397
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.3731663770054821
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.07029937526070251
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.29083804505274635
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.4861672469418619
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.34499259667666016
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.05599916825036044
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.310101677178045
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.48796812699757847
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3491241461006554
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.07868390052993524
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.3061118018206953
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.536577825290912
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.41222290384893967
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.05961394723538305
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.28805448685073926
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.4976421864901294
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.34839878316446926
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.06789292537201586
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.2971416634012951
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.49712234810169326
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.35396907341287515
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.01171839273071984
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.24405241646211975
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.5186869970374338
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.37574469194859766
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.0669167999834035
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.26297891877675134
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.49572395811573977
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,0.34697943813008314
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.08656217407332922
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.30341375026083484
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.48284642706962094
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,0.3364578902341595
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,r2,0.07650249978532808
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,rho,0.3403324899603633
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mae,0.5087977504948923
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mse,0.35667278001280256
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,r2,0.0909388124623226
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,rho,0.32460374438894246
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mae,0.5025224882662035
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mse,0.35823637392764446
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,r2,0.08352089583537103
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,rho,0.31477995405456904
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mae,0.5072089798596429
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mse,0.38766619891958726
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,r2,0.08253571369613089
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,rho,0.3144486027173544
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mae,0.497250245461628
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mse,0.37292119930496537
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,r2,0.03667801972196849
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,rho,0.29490160574123536
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mae,0.4888370296323823
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mse,0.36444871165724496
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,r2,0.09111641116862135
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,rho,0.3991172123786034
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mae,0.5052480012342202
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mse,0.3654032469603785
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,r2,0.0408150817804388
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,rho,0.26485263459407304
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mae,0.5039908212826087
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mse,0.3491147677090168
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,r2,0.1341137708313056
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,rho,0.3735768861637705
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mae,0.5104357104762818
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mse,0.3580374792345536
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,r2,0.05769525930320829
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,rho,0.3225187785268977
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mae,0.5088260761516002
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mse,0.37055046760972765
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,r2,0.07491873864435317
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,rho,0.2805523567248658
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mae,0.48215304250227375
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mse,0.3268998540985839
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,r2,0.09199898645874116
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,rho,0.3539392463198473
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mae,0.5003538116086215
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mse,0.3742919849047917
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,r2,0.12630373068693623
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,rho,0.38345298222856455
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mae,0.5092070432918568
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mse,0.3792401701515049
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,r2,0.050706019711583394
