model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.43787360291580063
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3116496642739458
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.21954331273425942
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.4788464500017304
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4379276224096254
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.31108528320781126
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.27312405973181453
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.5131467604726991
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.42264124458465474
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.28686052967619863
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.3519695935440019
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.5946742476715458
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.5021248368782228
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.3821994330401885
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.2633103478320864
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.4865610652853362
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4638368546733352
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.3510165967072883
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.23770809681892535
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.47773589616766343
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.44561174848874513
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.31941266105210037
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.31919298123969353
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.5876871126048149
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.4673751948786087
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.36891597641012913
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.23380528798200162
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.5036374976238182
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.45796002092294635
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.34366991125686563
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.16793834324985246
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.44833623722642446
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.4371696175027272
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.3099236966886797
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.24251843997193756
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.5122711091560912
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.45302221286310934
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.34597525027981313
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.2615138543221821
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.5388295616665852
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.4508299141635646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3306176596816063
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.2618532590579904
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.5564241928382173
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.47854309075359786
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.3511500911608565
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.20025073491930423
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.48648529151700837
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.45788977911807227
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.34228806459067757
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.28044248428635976
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.5019849513746899
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.4637314685355804
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.3452231812876456
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.23457421842050652
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.5041644337240496
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.42207471292539406
