model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.43684382749857714
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.3581123578119696
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.17729974251157288
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.3480018613052853
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.4710030033758459
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.3815764391980471
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.0530705069699372
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.1798654544875288
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.4346676924889748
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.3719614825221724
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.0928842452292078
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.29837833676847575
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.5091062754456812
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.45454790020217906
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.11138575652668725
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.27847745884550446
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.4327796875370535
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.373559839896978
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.13110977796432632
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.27702872519526983
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.4600191731209881
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.38017115323862016
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.060958025560518436
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.21210669249763936
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.42261124207895073
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.35194899349326686
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.11846865780047977
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.31392602715619
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.4554695034344071
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.3755496697077618
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,-0.020854601917595694
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.19709787369563359
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.4613885844936844
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.43655567018431224
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.009335816409561826
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.1755937203622336
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.5057603107900772
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.49818777639333106
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.11906084222918556
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.3445665224683203
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.42868699751455236
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.3809544319011155
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.03136133092738835
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.2125866200214631
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.4081674728212853
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.34088025661960825
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.13280753712565585
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.2932519473529785
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.47561796147029783
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.42461024562884997
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.1077712171437909
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.2937983335397189
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.4356370485968022
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.37887729379931306
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.012099341678090902
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.29741174311568175
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.49334073529077477
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,0.4564733531681792
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.1453339059815989
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.36488918514394103
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.4530146967074421
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,0.45242521187474843
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.09586030418572733
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.3106775447523297
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.42454665455660245
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,0.3901147448310672
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,r2,0.13681014169684302
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,rho,0.37359604296194976
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mae,0.4302072500679226
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,mse,0.3631700270373964
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,r2,0.14315645280755218
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,17,rho,0.334207515477276
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mae,0.4435022329639508
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,mse,0.38397417868342915
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,r2,0.1673373519230592
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,18,rho,0.342805205012008
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mae,0.42196055900866736
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,mse,0.38617912267850163
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,r2,-0.10391724010644832
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,19,rho,0.3255667072735956
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mae,0.4492565191276378
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,mse,0.39697201920250536
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,r2,0.096290500185791
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,20,rho,0.3218917928479737
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mae,0.4686341247328674
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,mse,0.4111877390266107
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,r2,0.07929341694077807
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,21,rho,0.25655180939755906
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mae,0.4608331614907451
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,mse,0.370353360070216
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,r2,0.11673706726293032
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,22,rho,0.2788551088915004
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mae,0.44168646399241
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,mse,0.40059367672840296
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,r2,0.17480794804831712
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,23,rho,0.3587434382307412
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mae,0.44881090417814723
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,mse,0.34888640570566
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,r2,0.11187741349724878
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,24,rho,0.2965174505307323
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mae,0.4840777356698164
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,mse,0.393926269350419
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,r2,0.0950235696803059
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,0,rho,0.23683550010549098
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mae,0.42923931493383044
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,mse,0.37337559446689284
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,r2,0.07342192531225167
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,1,rho,0.2044835846717028
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mae,0.4344629728314468
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,mse,0.3748779696042774
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,r2,0.0857717039982614
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,2,rho,0.2666500231943507
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mae,0.4975662642077111
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,mse,0.46518633514473573
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,r2,0.0905882458264613
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,3,rho,0.2976758628174168
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mae,0.4238007747703369
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,mse,0.3967129336215663
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,r2,0.0772562996227617
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,4,rho,0.33162782947922503
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,mae,0.44796957342772953
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,mse,0.3736481482352127
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,r2,0.07707017779904901
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,5,rho,0.26312409859920943
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,mae,0.4456430895719717
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,mse,0.3663010256872833
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,r2,0.08252093117763293
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,6,rho,0.250322071253737
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,mae,0.422605122968961
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,mse,0.3547712683236243
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,r2,0.035627212298866895
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,7,rho,0.19048104448089243
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,mae,0.4496179777667251
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,mse,0.4059494424739185
fabikru/model_15M_small_ds_masking_0.15_predicted_hparamas,8,r2,0.07878971578211846
