model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.1810687553368477
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,0.05447043926536611
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.4595647508867067
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.68322986314511
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.13518591045736172
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,0.03192107106842965
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.6732945039571501
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.8261455007410743
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.15660007053624586
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.04155185776509926
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.5866016788128604
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.7684426371897335
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.17581892134783542
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,0.049588122036203386
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.4784754398762153
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.6929632683207431
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.13335698526661038
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.03160719256682093
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.6634423166081294
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.8220361126278268
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.154045786360669
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,0.03936966934260055
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.5998466902808559
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.7779211413270829
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.16785189521698674
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,0.04683478503884626
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.521414927705884
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.732395346099671
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.15529051283997738
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.04236314132041301
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.5580238674101033
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.7547719918456399
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.15426427497467618
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,0.039705028136189764
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.5905559190530723
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.7753065707922242
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.14152188596737109
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,0.03558960251043971
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.6397936912111772
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.8082876953070599
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.15712728720113278
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.04174719755557354
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.5624568413833095
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.7508570474547651
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.16272931791385936
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,0.04458250912007497
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.5311268646690614
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.7352227007429091
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.14636594839160152
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,0.03731044053763031
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.621510898123435
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.7943401891923243
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.145815869915682
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,0.03703219630771471
