model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mae,0.8238266938073293
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,mse,1.1423881434942884
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,r2,0.20915508596800303
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,0,rho,0.49487725427424123
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mae,0.8546899451812109
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,mse,1.138949317023524
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,r2,0.24154684244433933
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,1,rho,0.468176060701036
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mae,0.7701688746043613
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,mse,0.9661623556543255
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,r2,0.313472620728544
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,2,rho,0.545432792562877
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mae,0.8605700378723087
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,mse,1.1954183563577325
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,r2,0.19806775342046412
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,3,rho,0.4497445053730742
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mae,0.7524258813403902
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,mse,0.905470602165134
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,r2,0.3496148635297178
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,4,rho,0.5515064204508794
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mae,0.8323926620823998
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,mse,1.1084201541500107
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,r2,0.2415759584109558
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,5,rho,0.47472083224621386
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mae,0.8801973257178352
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,mse,1.254027433795288
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,r2,0.13974175219989693
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,6,rho,0.39704897850834403
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mae,0.8069629925205594
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,mse,0.9924203641809586
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,r2,0.26677119961533957
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,7,rho,0.5070784411658763
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mae,0.8117625958578927
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,mse,1.0854642774399568
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,r2,0.237796659153109
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,8,rho,0.4927200789259888
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mae,0.8331280380203611
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,mse,1.161053987637214
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,r2,0.24368303925924317
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,9,rho,0.5170079214262646
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mae,0.7861787380490984
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,mse,0.9850624181311554
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,r2,0.3209760438467161
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,10,rho,0.5571554719678022
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mae,0.8360371850785756
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,mse,1.1492623354709728
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,r2,0.15831696744285573
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,11,rho,0.4290751065302735
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mae,0.8502887889317104
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,mse,1.1546225294097334
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,r2,0.21615639822068677
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,12,rho,0.46175459585786127
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mae,0.827453695223445
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,mse,1.1386881041445387
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,r2,0.19768153846043945
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,13,rho,0.4573009955532194
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mae,0.8201281204677764
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,mse,1.1281258252806028
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,r2,0.2598679892876351
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,14,rho,0.5116593262851409
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mae,0.8305100041344053
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,mse,1.104186750517815
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,r2,0.21701950626836453
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,15,rho,0.4624697006880534
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mae,0.8041696999186563
fabikru/model_15M_small_ds_masking_0.1_predicted_hparamas,16,mse,1.0800895180344208
