model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mae,0.5406226648271468
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mse,0.4048502241253371
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,r2,-0.010710790381286417
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,rho,0.06956942922357776
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mae,0.5261118077781781
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mse,0.3625441171230282
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,r2,-0.007006952355065099
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,rho,0.10759913268676566
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mae,0.5418759385675295
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mse,0.42065133207366034
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,r2,0.018088780052787135
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,rho,0.15111540415929797
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mae,0.5521509650979347
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mse,0.4098505783037152
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,r2,-0.025916338572498088
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,rho,0.031032167294139927
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mae,0.5182433685056798
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mse,0.3660493929642331
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,r2,-0.009537582067006278
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,rho,0.04592309295105243
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mae,0.5446340999981131
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mse,0.41069415154997035
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,r2,-0.017120274210967956
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,rho,0.09272077616834562
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mae,0.5447134857236416
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mse,0.39983662227471395
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,r2,0.014308854357503953
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,rho,0.15652924213114985
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mae,0.5296514683110408
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mse,0.36866744769858956
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,r2,0.02102945397014111
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,rho,0.151734019955945
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mae,0.5363564313073713
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mse,0.3935860345721612
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,r2,0.01942617347589881
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,rho,0.14675007694863257
