model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mae,0.4993674169832443
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mse,0.3913526706136874
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,r2,0.019945009177750772
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,rho,0.27221697936012546
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mae,0.5464196221441547
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mse,0.42421955693066327
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,r2,0.008776673250268985
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,rho,0.16126807909426416
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mae,0.5332891816306095
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mse,0.4165455804851078
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,r2,0.05900542631672123
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,rho,0.2574911865129799
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mae,0.5968078304751705
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mse,0.503305240810982
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,r2,0.0298788257272411
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,rho,0.19107146083360294
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mae,0.5274780742059771
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mse,0.4034616647672162
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,r2,0.12381476209093434
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,rho,0.376654030123028
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mae,0.5562186189479191
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mse,0.4513820639962033
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,r2,0.0379089034889456
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,rho,0.2070826312918644
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mae,0.5507202238346701
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mse,0.45685517206643333
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,r2,0.051166012376136605
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,rho,0.2892662784147004
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mae,0.5645113744107618
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mse,0.43985528437188004
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,r2,-0.06493674498966584
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,rho,0.053748633186590296
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mae,0.5307793650927229
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mse,0.4064153582902381
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,r2,0.0066840873858933225
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,rho,0.2083890484663115
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mae,0.5708382893524218
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mse,0.47315131826832163
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,r2,-0.009944188400053733
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,rho,0.12243989727461715
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mae,0.5724190608541184
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mse,0.4533446539220575
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,r2,-0.012150648995314928
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,rho,0.08343367094264792
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,mae,0.5241054786442872
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,mse,0.4091544501421299
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,r2,0.06814499257592488
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,rho,0.35355528690891147
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,mae,0.5094027273069095
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,mse,0.3929701667392553
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,r2,0.1738986363237196
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,rho,0.42937463086389793
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,mae,0.5616316944024666
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,mse,0.4362538336451354
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,r2,0.032741861831547814
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,rho,0.2491936993971717
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,mae,0.5216181675939356
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,mse,0.39848673138434904
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,r2,0.07716374340911325
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,rho,0.33460689099352237
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,mae,0.5430251299274356
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,mse,0.42633612435954205
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,r2,0.052581494554800656
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,rho,0.2521319179417548
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,mae,0.5344346636505479
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,mse,0.42754309274202396
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,r2,0.1100878053965949
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,rho,0.40403697142841766
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,mae,0.5382718910769799
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,mse,0.43013906647959926
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,r2,0.04935194500036855
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,rho,0.2414096852554607
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,18,mae,0.5624652281989372
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,18,mse,0.44587307750031285
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,18,r2,-0.04293058697326968
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,18,rho,0.05753955826654536
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,19,mae,0.5543468400583291
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,19,mse,0.43558570710324923
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,19,r2,0.004808729252080313
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,19,rho,0.12614963095945012
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,20,mae,0.5341010432096118
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,20,mse,0.4253695975167138
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,20,r2,0.04304057635978076
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,20,rho,0.25318294383082984
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,21,mae,0.5180217079044674
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,21,mse,0.4038897724026739
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,21,r2,0.13616873825475007
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,21,rho,0.39051234196187296
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,22,mae,0.5104120923105209
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,22,mse,0.3913076985073626
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,22,r2,0.09404973131165051
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,22,rho,0.3376840870239206
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,23,mae,0.5450761921282881
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,23,mse,0.4328729044106471
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,23,r2,0.007418052004997677
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,23,rho,0.12982547444233491
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,24,mae,0.5695131178624769
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,24,mse,0.4606484165279933
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,24,r2,0.021094874978546785
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,24,rho,0.12068336089021993
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,0,mae,0.5216854845349765
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,0,mse,0.40695816179538996
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,0,r2,-0.019135443481169467
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,0,rho,0.1515415872335285
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,1,mae,0.5332609960365301
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,1,mse,0.4051435662954273
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,1,r2,0.05334926918458571
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,1,rho,0.19807684791940056
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,2,mae,0.519958105114551
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,2,mse,0.40193185605156584
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,2,r2,0.09201846507529088
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,2,rho,0.30381784916752386
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,3,mae,0.5739838137078014
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,3,mse,0.49968754607934995
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,3,r2,0.03685193464133907
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,3,rho,0.3097557390137052
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,4,mae,0.5262359488888866
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,4,mse,0.4133765337738951
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,4,r2,0.10228294725428444
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,4,rho,0.361418905320438
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,5,mae,0.5160420923684463
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,5,mse,0.40706638476361295
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,5,r2,0.13236485073693727
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,5,rho,0.38865994174519053
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,6,mae,0.5409906792289637
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,6,mse,0.44325053861136443
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,6,r2,0.07942122190555168
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,6,rho,0.35358130830674095
fabikru/model_15M_medium_ds_masking_0.15_explicit_hs_predicted_hparamas,7,mae,0.5324150977748315
