model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mae,0.5049579594026687
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mse,0.4557124614220427
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,r2,-0.046919356939511436
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,rho,0.1530154195498001
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mae,0.4537694169623459
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mse,0.3684101742487601
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,r2,0.08574423446666268
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,rho,0.2603603058989205
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mae,0.46282338677374474
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mse,0.39981991672955763
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,r2,0.024944886558492918
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,rho,0.2383228208507113
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mae,0.5486328364168906
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mse,0.5191793583911367
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,r2,-0.014964919161424284
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,rho,0.06559166952253496
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mae,0.4902976800817719
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mse,0.4245136773544111
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,r2,0.01259251134870576
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,rho,0.11280051570945505
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mae,0.4674461679045688
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mse,0.382910050198535
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,r2,0.05419281155857547
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,rho,0.21212534820908302
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mae,0.48314917227958276
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mse,0.38958207123053873
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,r2,0.024208585624791557
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,rho,0.19284920219469426
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mae,0.4405554813507634
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mse,0.3676000535762207
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,r2,0.0007547958956872769
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,rho,0.24002871079149424
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mae,0.47959549628140885
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mse,0.4289080032532362
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,r2,0.026690463786945284
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,rho,0.2539191223625718
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mae,0.5457344002887577
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mse,0.5557309477594308
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,r2,0.017307978508396715
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,rho,0.27318414434071625
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mae,0.4531348205062996
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mse,0.3774890771348287
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,r2,0.040172559640306305
