model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mae,0.2330693956210836
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mse,0.08185651510091398
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,r2,0.18785038771963047
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,rho,0.42545536832250974
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mae,0.23646013513657113
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mse,0.08417547498713117
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,r2,0.13848159257063197
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,rho,0.37514086717725065
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mae,0.2363425083451688
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mse,0.08222750250700764
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,r2,0.18192077755041214
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,rho,0.402337146396709
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mae,0.2319375671918027
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mse,0.0798462849094632
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,r2,0.16024650853839018
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,rho,0.3808546106186191
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mae,0.235509516020252
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mse,0.08258279279492237
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,r2,0.12064719533913804
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,rho,0.3297041036058886
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mae,0.24193900587563114
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mse,0.08795634590593905
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,r2,0.10601172138931281
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,rho,0.3207624435193446
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mae,0.23725923990984843
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mse,0.08430499491021512
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,r2,0.13852253084122845
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,rho,0.3654489486975806
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mae,0.23664691622110132
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mse,0.08304305582677772
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,r2,0.13360889894441208
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,rho,0.36829161810633915
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mae,0.24249996608950847
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mse,0.08555663922389935
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,r2,0.11772737206530004
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,rho,0.3363214809535327
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mae,0.24186354554296266
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mse,0.08623260751494309
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,r2,0.12723022851740218
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,rho,0.33116693772260253
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mae,0.24050814996438563
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,mse,0.08558710343301387
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,r2,0.10298046897438473
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,10,rho,0.3140146108619691
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,mae,0.23445430832515057
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,mse,0.08124721724587015
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,r2,0.1455250447124008
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,11,rho,0.37380494490195343
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,mae,0.24633037093389157
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,mse,0.08991744751148084
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,r2,0.08784850939165367
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,12,rho,0.28792699632612045
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,mae,0.2478081537711598
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,mse,0.09224942022569917
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,r2,0.1098999005054494
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,13,rho,0.31424258563580904
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,mae,0.24037996933486436
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,mse,0.08643155265223663
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,r2,0.09343741139730033
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,14,rho,0.2927183152504792
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,mae,0.24215353262358927
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,mse,0.08698271268366026
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,r2,0.12012068386627972
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,15,rho,0.326944352708876
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,mae,0.23716027691281266
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,mse,0.08433799177718208
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,r2,0.1150722775256644
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,16,rho,0.33464048689203035
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,mae,0.23081069516349145
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,17,mse,0.07982584962236985
