model,fold,metric_name,value
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mae,0.9632480239868164
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,mse,1.4049107929889995
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,r2,0.027417641165701556
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,0,rho,0.1632884709067258
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mae,0.9882896821271807
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,mse,1.48721598860623
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,r2,0.009627868715460286
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,1,rho,0.1182247583866711
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mae,0.962769538561503
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,mse,1.413636230458294
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,r2,-0.004489536215110945
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,2,rho,0.0790014235883445
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mae,0.9682010723295666
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,mse,1.4594336975667463
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,r2,0.020956188602022863
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,3,rho,0.14483919055680478
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mae,0.9636175098873322
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,mse,1.418851579449422
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,r2,-0.01913852964935181
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,4,rho,0.07722764479653964
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mae,0.9825432575316656
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,mse,1.4496359127627798
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,r2,0.008102907842493678
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,5,rho,0.13575587108052276
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mae,0.9775885118756976
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,mse,1.4720531546827502
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,r2,-0.009823097476765241
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,6,rho,0.09518422265052781
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mae,0.9579819474333808
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,mse,1.3645186361819244
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,r2,-0.008145740273979962
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,7,rho,0.09168210002148407
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mae,0.9614693591708229
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,mse,1.44239179391497
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,r2,-0.012834661611371478
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,8,rho,0.06429391699731483
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mae,0.9741295230388641
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,mse,1.4991077635956778
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,r2,0.023472948150429662
fabikru/model_15M_medium_ds_masking_0.1_explicit_hs_predicted_hparamas,9,rho,0.1750462721916579
