model,fold,metric_name,value
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,mae,0.390566614592505
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,mse,0.24479683132774502
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,r2,0.38886337679906635
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,rho,0.6302281328781445
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,mae,0.3782426424699116
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,mse,0.24275275003456692
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,r2,0.3257270068868182
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,rho,0.5841159285027423
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,mae,0.3802955383888225
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,mse,0.23620112800733986
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,r2,0.4486442331912506
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,rho,0.6641245328156685
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,mae,0.407005587559371
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,mse,0.28204398819048765
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,r2,0.29400237306400034
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,rho,0.576919686225411
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,mae,0.3462869839030512
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,mse,0.2054459995866568
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,r2,0.4333948869891491
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,rho,0.6553060720628039
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,mae,0.39373668735037737
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,mse,0.26203901850622097
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,r2,0.35103726860694895
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,rho,0.6095384494384277
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,mae,0.3776640709442514
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,mse,0.2283556044222547
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,r2,0.4370498228593812
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,rho,0.6504101537585892
fabikru/model_111M_small_ds_masking_30_predicted_hparams,7,mae,0.3474444313591554
fabikru/model_111M_small_ds_masking_30_predicted_hparams,7,mse,0.21132306404862286
