model,fold,metric_name,value
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,mae,0.3720317734832769
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,mse,0.24135426666810583
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,r2,0.39745775822888973
fabikru/model_111M_small_ds_masking_30_predicted_hparams,0,rho,0.6254544376488861
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,mae,0.3870717452573205
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,mse,0.2545353382462361
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,r2,0.29299954646063975
fabikru/model_111M_small_ds_masking_30_predicted_hparams,1,rho,0.5618275383737212
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,mae,0.3749232315436532
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,mse,0.2355021219521369
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,r2,0.45027589779345534
fabikru/model_111M_small_ds_masking_30_predicted_hparams,2,rho,0.6693224246561948
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,mae,0.3918050219337832
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,mse,0.2680314521466398
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,r2,0.32907781380564205
fabikru/model_111M_small_ds_masking_30_predicted_hparams,3,rho,0.607179592085867
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,mae,0.464373319641154
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,mse,0.3163413308460698
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,r2,0.1275536351417884
fabikru/model_111M_small_ds_masking_30_predicted_hparams,4,rho,0.3866690465681574
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,mae,0.4792544760333628
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,mse,0.3391532845708912
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,r2,0.16005699009735452
fabikru/model_111M_small_ds_masking_30_predicted_hparams,5,rho,0.4296649531149593
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,mae,0.38602294599192755
fabikru/model_111M_small_ds_masking_30_predicted_hparams,6,mse,0.2419427001550326
