model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.3967416595571959
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.2597572541454578
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.3515145997218242
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.5967717017710107
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.40191256678698206
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.26033193974785424
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.27689883557755457
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.5823091710485733
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.39704826121924597
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.2528670865054801
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.40974148787049425
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.6357876947238127
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.3909164053000485
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.2484716719937494
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.37803882325642335
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.6187489493686507
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.3829582908412911
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.24501023129356655
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.3242796157130806
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.5788455515303069
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.370684148424709
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.22530471637473837
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.44201300643012575
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.6731786841440917
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.38740699997440986
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.23863347617573488
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.4117124559973383
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.6456891380502916
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.3940252855210783
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.2651376387965078
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.29594559908664864
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.5817261932308789
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.4013756374898776
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.25363630125456854
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.3680946562624723
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,rho,0.5947940375405966
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mae,0.37428924802031843
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mse,0.22184082528937848
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,r2,0.3929784998097394
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,rho,0.6239877079154517
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mae,0.37675322199856937
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mse,0.2322282881089642
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,r2,0.38716452878777363
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,rho,0.633026833943882
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mae,0.41488978228613166
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mse,0.2683952794816673
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,r2,0.3877216062091682
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,rho,0.6078451970280798
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mae,0.3730928027535045
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mse,0.23163387993918524
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,r2,0.3802860726039914
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,rho,0.6154290583054458
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mae,0.3802848579640134
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mse,0.24471911289948306
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,r2,0.3167442683793048
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,rho,0.6046123457151431
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mae,0.3879124030158156
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mse,0.26018520634771247
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,r2,0.3538845654029522
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,rho,0.6171594959077376
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mae,0.3932278276273249
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mse,0.2546958350395863
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,r2,0.32950260371360307
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,rho,0.577510760247028
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mae,0.38551164899360574
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mse,0.2412799058258831
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,r2,0.337743603732518
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,rho,0.6271404916140964
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mae,0.3782129563704485
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mse,0.22589377048292697
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,r2,0.42425867416851326
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,rho,0.6434130800222212
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mae,0.3854125554103469
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mse,0.25269497392559215
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,r2,0.3535283399864728
