model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.34164988887758346
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.22484043078623775
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.4369375683954514
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.7055691478951371
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.3856023608530839
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.26698274725863164
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.3761732041841306
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.6700098451025487
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.35748593742300455
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.2176560380402243
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.5083055484906898
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.7291473007728819
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.42720156059269193
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.32745228640881
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.36883550805600296
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.6398343063412908
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.36824197222828386
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.2398793132190622
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.4790615032940655
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.6986729664604073
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.4146974640559544
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.2732515593908885
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.4175823246713083
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.7005687814746119
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.4295506812342368
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.3219907353201988
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.33126344615974324
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.629230989484678
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.3610476528677997
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.23955160030083525
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.4200199234943057
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.6578806789704165
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.3457462793677006
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.23011495496573026
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.43757822671971425
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,rho,0.6793011379922365
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mae,0.36824063247180905
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mse,0.2514255159129668
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,r2,0.4633308017800215
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,rho,0.7042806448550938
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mae,0.3954471296302708
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mse,0.2911490127066706
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,r2,0.34997212470478
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,rho,0.6492532503628571
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mae,0.35377002288851556
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mse,0.22216432103408845
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,r2,0.4940176381934258
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,rho,0.7519968396650143
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mae,0.3452558548973153
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mse,0.22569714784679348
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,r2,0.525539754935656
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,rho,0.7306822567858217
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mae,0.36676959507557955
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mse,0.2531413805351295
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,r2,0.4387371719259817
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,rho,0.6805650360348798
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mae,0.34016477318908867
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mse,0.20540902022394197
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,r2,0.5243031289023505
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,rho,0.7212845721666092
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mae,0.35608799628873283
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mse,0.2357197689270922
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,r2,0.47617558442583074
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,rho,0.7220195713664517
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mae,0.3541130283961177
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mse,0.2368391146905099
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,r2,0.5070297710333173
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,rho,0.7431447842122219
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mae,0.3549276350358194
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mse,0.23268485103214653
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,r2,0.4857444526674253
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,rho,0.7310746319073013
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mae,0.3711156924782767
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mse,0.2333445185429777
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,r2,0.4541896607541819
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,rho,0.7004106190832281
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mae,0.34593324366461653
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mse,0.22551544471121154
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,r2,0.48476040803093956
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,rho,0.7081139899993356
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mae,0.3646665998572609
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mse,0.2582366926166657
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,r2,0.4190416099977835
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,rho,0.67599828847553
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mae,0.343526156476788
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mse,0.22165265749279217
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,r2,0.5259337872009981
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,rho,0.7669824587854267
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mae,0.36181973315709226
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mse,0.23560462996903198
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,r2,0.4545313607709468
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,rho,0.6966233228442795
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mae,0.39163612700091455
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mse,0.2807319735429393
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,r2,0.35627874527487213
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,rho,0.6428352875709069
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mae,0.34091420550317647
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mse,0.22845751802782793
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,r2,0.514514264625652
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,rho,0.720477674428086
DeepChem/ChemBERTa-77M-MLM,0,mae,0.38162101708228174
DeepChem/ChemBERTa-77M-MLM,0,mse,0.25421427608864655
DeepChem/ChemBERTa-77M-MLM,0,r2,0.36337736081305916
DeepChem/ChemBERTa-77M-MLM,0,rho,0.6354160058645512
DeepChem/ChemBERTa-77M-MLM,1,mae,0.40347666981881086
DeepChem/ChemBERTa-77M-MLM,1,mse,0.28618060521464084
DeepChem/ChemBERTa-77M-MLM,1,r2,0.3313158553921358
DeepChem/ChemBERTa-77M-MLM,1,rho,0.6429739982238515
DeepChem/ChemBERTa-77M-MLM,2,mae,0.39845848677208223
DeepChem/ChemBERTa-77M-MLM,2,mse,0.2695131509262683
DeepChem/ChemBERTa-77M-MLM,2,r2,0.3911580762361059
DeepChem/ChemBERTa-77M-MLM,2,rho,0.6767656114936639
DeepChem/ChemBERTa-77M-MLM,3,mae,0.42044414382884543
DeepChem/ChemBERTa-77M-MLM,3,mse,0.3330621089523897
DeepChem/ChemBERTa-77M-MLM,3,r2,0.358022571507458
DeepChem/ChemBERTa-77M-MLM,3,rho,0.6207768938558456
DeepChem/ChemBERTa-77M-MLM,4,mae,0.36413335597923896
