model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.37210367308857156
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.3093570397561855
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.2893065243034606
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.4669569587559858
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.3614995981868853
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.2886181891039721
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.2837579907662239
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.4705055594756167
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.41500918062419107
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.33478226367858677
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.18355453435269864
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.39597405365727856
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.43572661951687347
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.4103621643547013
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.19776625507250334
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.47849738963296284
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.3689502221449608
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.3045088227621824
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.29172060172575665
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.47540992018557404
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.4275151152617333
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.3376952731696137
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.16587559741273894
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.3589630476879249
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.3885432570537486
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.32748109330987557
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.1797537340138926
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.4437732850052293
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.34753093598272433
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.2701133719382529
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.2657523064865964
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.4181662322157722
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.36628504038405973
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.30049181168288686
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.31810191545386035
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,rho,0.479955594240494
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mae,0.43484565574235384
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mse,0.4062977984463277
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,r2,0.28154873056368446
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,rho,0.5390437693579931
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mae,0.36278639845027283
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mse,0.28594553148304486
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,r2,0.27293692933098
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,rho,0.4946907144047034
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mae,0.3607981334508764
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mse,0.2792904129195505
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,r2,0.289490851014087
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,rho,0.43301000955196195
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mae,0.3844641666060447
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mse,0.3305687610876076
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,r2,0.3053795418462666
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,rho,0.4333271615986927
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mae,0.38739058243289354
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mse,0.31094078545743276
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,r2,0.18923986293240813
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,rho,0.4382760640330264
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mae,0.42566951920258
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mse,0.4096835805775734
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,r2,0.23293952830866793
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,rho,0.4973782005634065
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mae,0.41163094936185296
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mse,0.40747611641494386
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,r2,0.18568788326283114
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,rho,0.4527906742395826
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mae,0.4098533392378677
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mse,0.34811413172081074
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,r2,0.22974306402201017
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,rho,0.45235053470107683
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mae,0.395027268864399
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mse,0.3416341111497391
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,r2,0.19396711775077558
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,rho,0.475907193015202
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mae,0.39875655278366345
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mse,0.3186769447454287
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,r2,0.3089368936144844
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,rho,0.47500699718483586
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mae,0.40265471191978885
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mse,0.30924643093652515
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,r2,0.11599968381402415
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,rho,0.37710128808844584
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mae,0.3864812087924941
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mse,0.33172554767610524
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,r2,0.24482453607633103
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,rho,0.5197187681496607
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mae,0.38016511459173424
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mse,0.3332709874687486
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,r2,0.2537598693202613
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,rho,0.44342558014663563
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mae,0.3580729762727215
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mse,0.28946860262830887
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,r2,0.3096406986983803
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,rho,0.45978917595621543
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mae,0.41253159874959777
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mse,0.3420052514639481
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,r2,0.29549558161116984
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,rho,0.4828135168368539
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mae,0.37757562322915156
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mse,0.28901809318963917
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,r2,0.2642777354694983
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,rho,0.41229896415814893
DeepChem/ChemBERTa-77M-MLM,0,mae,0.38197364422393726
DeepChem/ChemBERTa-77M-MLM,0,mse,0.31124468817236095
DeepChem/ChemBERTa-77M-MLM,0,r2,0.2849699835386469
DeepChem/ChemBERTa-77M-MLM,0,rho,0.4436166940148466
DeepChem/ChemBERTa-77M-MLM,1,mae,0.4258212057512172
DeepChem/ChemBERTa-77M-MLM,1,mse,0.33446346143840056
DeepChem/ChemBERTa-77M-MLM,1,r2,0.1699872333769461
DeepChem/ChemBERTa-77M-MLM,1,rho,0.3612863562877603
DeepChem/ChemBERTa-77M-MLM,2,mae,0.38444962635148766
DeepChem/ChemBERTa-77M-MLM,2,mse,0.32898583859730235
DeepChem/ChemBERTa-77M-MLM,2,r2,0.19769048326044136
DeepChem/ChemBERTa-77M-MLM,2,rho,0.3680901110181199
DeepChem/ChemBERTa-77M-MLM,3,mae,0.4134045074853771
DeepChem/ChemBERTa-77M-MLM,3,mse,0.3812119280497826
DeepChem/ChemBERTa-77M-MLM,3,r2,0.254753241855727
DeepChem/ChemBERTa-77M-MLM,3,rho,0.5146806216876308
DeepChem/ChemBERTa-77M-MLM,4,mae,0.36092149727673234
DeepChem/ChemBERTa-77M-MLM,4,mse,0.3210186377144655
DeepChem/ChemBERTa-77M-MLM,4,r2,0.25331921258389034
DeepChem/ChemBERTa-77M-MLM,4,rho,0.4460443494152904
DeepChem/ChemBERTa-77M-MLM,5,mae,0.42562625099683915
DeepChem/ChemBERTa-77M-MLM,5,mse,0.3455941331671697
DeepChem/ChemBERTa-77M-MLM,5,r2,0.14636501375919597
DeepChem/ChemBERTa-77M-MLM,5,rho,0.3587417806840316
DeepChem/ChemBERTa-77M-MLM,6,mae,0.3897283976329419
DeepChem/ChemBERTa-77M-MLM,6,mse,0.35558577329848606
DeepChem/ChemBERTa-77M-MLM,6,r2,0.10935956687466541
DeepChem/ChemBERTa-77M-MLM,6,rho,0.3820185538401194
DeepChem/ChemBERTa-77M-MLM,7,mae,0.3634169159487987
DeepChem/ChemBERTa-77M-MLM,7,mse,0.30095107942199656
DeepChem/ChemBERTa-77M-MLM,7,r2,0.1819263358184141
DeepChem/ChemBERTa-77M-MLM,7,rho,0.3752811715144176
DeepChem/ChemBERTa-77M-MLM,8,mae,0.38121054915255465
DeepChem/ChemBERTa-77M-MLM,8,mse,0.35857574010597165
DeepChem/ChemBERTa-77M-MLM,8,r2,0.18629359990343608
DeepChem/ChemBERTa-77M-MLM,8,rho,0.3637571108153646
DeepChem/ChemBERTa-77M-MLM,9,mae,0.4579461582141238
DeepChem/ChemBERTa-77M-MLM,9,mse,0.4456421939759171
DeepChem/ChemBERTa-77M-MLM,9,r2,0.211976532482547
DeepChem/ChemBERTa-77M-MLM,9,rho,0.48050843686525596
DeepChem/ChemBERTa-77M-MLM,10,mae,0.40892341724123277
DeepChem/ChemBERTa-77M-MLM,10,mse,0.3112596579300094
DeepChem/ChemBERTa-77M-MLM,10,r2,0.20857164126238414
DeepChem/ChemBERTa-77M-MLM,10,rho,0.3991837371723292
DeepChem/ChemBERTa-77M-MLM,11,mae,0.36777217170353166
DeepChem/ChemBERTa-77M-MLM,11,mse,0.2666593782317288
DeepChem/ChemBERTa-77M-MLM,11,r2,0.3216239472168585
DeepChem/ChemBERTa-77M-MLM,11,rho,0.41768783486457434
DeepChem/ChemBERTa-77M-MLM,12,mae,0.4034565063653799
DeepChem/ChemBERTa-77M-MLM,12,mse,0.36259810114308627
DeepChem/ChemBERTa-77M-MLM,12,r2,0.23807664610227908
DeepChem/ChemBERTa-77M-MLM,12,rho,0.41443586107831715
