model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.07243119573156209
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.012196233663401553
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.8789935482984937
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.9399135542976447
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.07242968316564635
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.01116010632372228
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.8857786424344438
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.9407525771974983
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.07344543681205885
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.011387879376882947
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.8867022927615229
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.9443725767638148
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.07116641702867531
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.010660200688548059
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.887885319172455
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.9409946502778125
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.0702802538307013
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.010610786287094722
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.8870149050979121
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.9410507998618559
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.07073813352777089
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.010301302031994598
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.8952975686270547
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.9439655071594082
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.07125930223598959
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.011241481324285998
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.8851280058654263
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.9440156489448654
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.07256671988942234
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.011866030787946144
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.8762012864630986
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.939860510024368
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.07332039161127518
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.011012624615070922
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.886436197731305
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,rho,0.9418948620448255
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mae,0.07382188237135519
