model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,24.329891576227155
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,10604.516160929632
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.02790668235852789
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.39551197818488243
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,20.517865773326946
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,7035.418291549676
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.010062132895578113
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.40258592018144773
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,16.434085284538988
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,2488.720625069854
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.23605811978925728
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.3276785258536851
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,27.173894549675712
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,19123.347648501567
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.01643882305935418
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.42157261126653767
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,12.130969690393515
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,503.49668889240166
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.005699842523697041
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.20068605994731084
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,22.914979685657425
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,7360.912983260078
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.16164467052247067
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.21948239514795168
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,20.147860102023717
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,12348.120225640272
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.07650336104961941
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.36659318637750443
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,18.474978683759584
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,6133.002167684543
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.16060533050642534
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.3765583964024222
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,11.076693459276884
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,454.08585049288615
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.2678496927300219
