model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.508193359375
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.4794780634123435
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.6680700950907068
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.8098964009022771
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.5212005540302821
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.4751133608078685
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.6836108303367401
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.808767220139545
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.5103605197724842
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.4456071687200184
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.6833642710921553
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.8234436076507108
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.49454506394409004
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.44082675810916394
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.7042765901972936
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.8235417823219207
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.484648985181536
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.44220478863108165
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.682371331422655
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.8110454394984878
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.5310176255305608
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.5124925344738199
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.6493327391922872
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.7604578363564264
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.48001405710265754
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.4489999119575028
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.6919876973074133
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.8291026581119741
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.4773100950888225
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.3985044372514978
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.7055734232992815
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.8190979133283891
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.5043934213547479
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.46867582125125923
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.6709000156371978
