model,fold,metric_name,value
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mae,0.5805585821855812
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,mse,0.6154260172425627
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,r2,0.6487666309494249
fabikru/model_15M_small_ds_masking_30_predicted_hparams,0,rho,0.808484558273932
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mae,0.6647298802218619
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,mse,0.8517344017332454
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,r2,0.5229624055453399
fabikru/model_15M_small_ds_masking_30_predicted_hparams,1,rho,0.7200158470615119
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mae,0.6286442658964677
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,mse,0.7281082724555178
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,r2,0.6058062737157714
fabikru/model_15M_small_ds_masking_30_predicted_hparams,2,rho,0.7758725766904537
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mae,0.5681479214072596
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,mse,0.5275783832822011
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,r2,0.7197360893766074
fabikru/model_15M_small_ds_masking_30_predicted_hparams,3,rho,0.8493751026044722
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mae,0.6086395795626761
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,mse,0.6244061291667676
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,r2,0.6573387304186764
fabikru/model_15M_small_ds_masking_30_predicted_hparams,4,rho,0.7976014106215401
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mae,0.6225399347700374
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,mse,0.6528231372461936
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,r2,0.6199310274657921
fabikru/model_15M_small_ds_masking_30_predicted_hparams,5,rho,0.7724265219462476
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mae,0.651349284516423
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,mse,0.7656834325454761
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,r2,0.5874147347095904
fabikru/model_15M_small_ds_masking_30_predicted_hparams,6,rho,0.7709162547951309
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mae,0.6369344258160385
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,mse,0.6852730903936268
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,r2,0.6589592895875005
fabikru/model_15M_small_ds_masking_30_predicted_hparams,7,rho,0.8120426067395066
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mae,0.583275474113864
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,mse,0.553634798123843
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,r2,0.7120453762638032
fabikru/model_15M_small_ds_masking_30_predicted_hparams,8,rho,0.8451920486316816
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mae,0.566362578185481
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,mse,0.5736129009410307
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,r2,0.6353111705668752
fabikru/model_15M_small_ds_masking_30_predicted_hparams,9,rho,0.8033655956652092
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mae,0.6038368305514124
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,mse,0.6373599365205946
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,r2,0.6602617132944645
fabikru/model_15M_small_ds_masking_30_predicted_hparams,10,rho,0.8062718999202488
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mae,0.580617954594368
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,mse,0.5706281409898237
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,r2,0.6395585226853153
fabikru/model_15M_small_ds_masking_30_predicted_hparams,11,rho,0.8016549576211794
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mae,0.6164371766714942
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,mse,0.701051153225443
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,r2,0.6223177682639773
fabikru/model_15M_small_ds_masking_30_predicted_hparams,12,rho,0.790081889893492
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mae,0.605385125926391
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,mse,0.6700930496930294
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,r2,0.6360001490437298
fabikru/model_15M_small_ds_masking_30_predicted_hparams,13,rho,0.7924318048497946
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mae,0.6251031634666009
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,mse,0.7075151450118237
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,r2,0.6342225150328568
fabikru/model_15M_small_ds_masking_30_predicted_hparams,14,rho,0.7959632569265365
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mae,0.5550078989837276
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,mse,0.5428024861237829
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,r2,0.6782450841722973
fabikru/model_15M_small_ds_masking_30_predicted_hparams,15,rho,0.7963779076706116
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mae,0.6110655930766027
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,mse,0.6467623179831065
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,r2,0.6507954364970845
fabikru/model_15M_small_ds_masking_30_predicted_hparams,16,rho,0.8158804488165318
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mae,0.6137454984072838
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,mse,0.6748044492533173
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,r2,0.6245000181389218
fabikru/model_15M_small_ds_masking_30_predicted_hparams,17,rho,0.7937596782841047
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mae,0.6442603541445822
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,mse,0.7823710867802419
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,r2,0.5935808506545572
fabikru/model_15M_small_ds_masking_30_predicted_hparams,18,rho,0.773267452034709
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mae,0.6149362643263399
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,mse,0.7078901522531613
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,r2,0.6107602157470386
fabikru/model_15M_small_ds_masking_30_predicted_hparams,19,rho,0.7853911329412023
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mae,0.5849816366982362
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,mse,0.6006747489444617
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,r2,0.6835580086180872
fabikru/model_15M_small_ds_masking_30_predicted_hparams,20,rho,0.8201346218001123
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mae,0.6039700059163907
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,mse,0.6951215000836676
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,r2,0.6318353159024535
fabikru/model_15M_small_ds_masking_30_predicted_hparams,21,rho,0.7977846547116383
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mae,0.6059270584795653
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,mse,0.6254608402923157
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,r2,0.6611162948059339
fabikru/model_15M_small_ds_masking_30_predicted_hparams,22,rho,0.8043936532740238
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mae,0.5878815220944819
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,mse,0.5821898601750511
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,r2,0.658301708469348
fabikru/model_15M_small_ds_masking_30_predicted_hparams,23,rho,0.8142117045533004
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mae,0.6543875152855005
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,mse,0.6850145811252717
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,r2,0.6059485170802574
fabikru/model_15M_small_ds_masking_30_predicted_hparams,24,rho,0.7636057641134308
DeepChem/ChemBERTa-77M-MLM,0,mae,0.6703802811029452
DeepChem/ChemBERTa-77M-MLM,0,mse,0.7724016111067945
DeepChem/ChemBERTa-77M-MLM,0,r2,0.5591781749093576
DeepChem/ChemBERTa-77M-MLM,0,rho,0.8002073002351626
DeepChem/ChemBERTa-77M-MLM,1,mae,0.6741379377058664
DeepChem/ChemBERTa-77M-MLM,1,mse,0.8408853004712058
DeepChem/ChemBERTa-77M-MLM,1,r2,0.5290387471343454
DeepChem/ChemBERTa-77M-MLM,1,rho,0.758550683248752
DeepChem/ChemBERTa-77M-MLM,2,mae,0.6652926789971306
DeepChem/ChemBERTa-77M-MLM,2,mse,0.754478835756217
DeepChem/ChemBERTa-77M-MLM,2,r2,0.5915293989638069
DeepChem/ChemBERTa-77M-MLM,2,rho,0.7810813345717106
DeepChem/ChemBERTa-77M-MLM,3,mae,0.685818503988881
DeepChem/ChemBERTa-77M-MLM,3,mse,0.76049910920213
DeepChem/ChemBERTa-77M-MLM,3,r2,0.596002298190093
DeepChem/ChemBERTa-77M-MLM,3,rho,0.7873053369970342
DeepChem/ChemBERTa-77M-MLM,4,mae,0.649326865530319
DeepChem/ChemBERTa-77M-MLM,4,mse,0.7642585858538992
DeepChem/ChemBERTa-77M-MLM,4,r2,0.5805905722504845
DeepChem/ChemBERTa-77M-MLM,4,rho,0.7937555973083128
DeepChem/ChemBERTa-77M-MLM,5,mae,0.7018015424877209
DeepChem/ChemBERTa-77M-MLM,5,mse,0.8301434224636175
DeepChem/ChemBERTa-77M-MLM,5,r2,0.5166964226134776
DeepChem/ChemBERTa-77M-MLM,5,rho,0.7356054188319262
DeepChem/ChemBERTa-77M-MLM,6,mae,0.7311465886586395
DeepChem/ChemBERTa-77M-MLM,6,mse,0.8945933735711153
DeepChem/ChemBERTa-77M-MLM,6,r2,0.5179521605491191
DeepChem/ChemBERTa-77M-MLM,6,rho,0.740425253432352
DeepChem/ChemBERTa-77M-MLM,7,mae,0.6223784267367033
DeepChem/ChemBERTa-77M-MLM,7,mse,0.7006731742457931
DeepChem/ChemBERTa-77M-MLM,7,r2,0.6512951107207394
DeepChem/ChemBERTa-77M-MLM,7,rho,0.8263970101714601
DeepChem/ChemBERTa-77M-MLM,8,mae,0.6342833466153707
DeepChem/ChemBERTa-77M-MLM,8,mse,0.6779823675603214
