model,fold,metric_name,value
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mae,0.4731300908041544
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mse,0.3560829540184336
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,r2,0.11103696515219352
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,rho,0.4217380311692305
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mae,0.44224044407451313
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mse,0.30562671838084354
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,r2,0.1510875071501082
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,rho,0.46537751082622664
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mae,0.46325121331660585
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mse,0.33793873900049154
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,r2,0.21116180033565346
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,rho,0.45546227788263116
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mae,0.4583005856967746
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mse,0.32892472989538896
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,r2,0.17665297446484896
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,rho,0.45082673624456804
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mae,0.4427406594648413
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mse,0.30392348063317415
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,r2,0.16180116216779794
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,rho,0.4186478622741602
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mae,0.4560467201823121
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mse,0.3441887814563254
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,r2,0.14758613811767118
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,rho,0.4411061852894172
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mae,0.4450593529400055
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mse,0.3158073016476735
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,r2,0.22146085770631307
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,rho,0.502499969310339
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mae,0.446234916266
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mse,0.3160573640010054
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,r2,0.16073184072984303
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,rho,0.4416813666760651
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mae,0.46840157554473244
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mse,0.3535006347519769
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,r2,0.1192942847318127
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,rho,0.41449056453999694
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,mae,0.4543524293577177
