model,fold,metric_name,value
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mae,0.4188857077587067
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mse,0.30665867681340025
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,r2,0.23204212144857972
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,rho,0.5477613473794323
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mae,0.411361658263313
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mse,0.30774354711358626
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,r2,0.2809322965618264
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,rho,0.5962155471802026
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mae,0.43596982929221406
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mse,0.332786230881255
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,r2,0.24822143811710096
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,rho,0.5085822495739517
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mae,0.4737452873731515
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mse,0.3875211191866658
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,r2,0.2530527943736465
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,rho,0.542891790931221
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mae,0.434846003314685
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mse,0.32090413277801066
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,r2,0.3031024048187325
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,rho,0.6032046699032152
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mae,0.449066323200065
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mse,0.3614092020565397
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,r2,0.22968012415600503
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,rho,0.5405616661616577
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mae,0.477132632005277
