model,fold,metric_name,value
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mae,0.45682110170829265
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mse,0.3878204336980895
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,r2,0.10905065490586252
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,rho,0.3510435598531149
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mae,0.41502543411383347
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mse,0.3526109469083576
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,r2,0.12495198630573556
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,rho,0.39780314877875445
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mae,0.41345580109484636
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mse,0.35307911980670575
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,r2,0.13893333770607574
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,rho,0.3593814624007144
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mae,0.4933031139458059
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mse,0.5053441711271206
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,r2,0.012082053134469972
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,rho,0.330613831173847
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mae,0.44793142484296666
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mse,0.40074874258671184
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,r2,0.06786911563428477
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,rho,0.28032382179752535
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mae,0.44593758098308106
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mse,0.3657550150875079
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,r2,0.09656661584384252
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,rho,0.31815838500289345
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mae,0.44588108683918537
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mse,0.37142580796499386
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,r2,0.06968482059549841
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,rho,0.27162065945375036
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mae,0.44297852354814843
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mse,0.36957906211308594
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,r2,-0.004624732126971232
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,rho,0.27603913210380043
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mae,0.415327369528842
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mse,0.40510885762432025
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,r2,0.0806972326479839
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,rho,0.3269399736978843
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,mae,0.5154238668270249
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,mse,0.4933852080964505
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,r2,0.12755316313922438
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,rho,0.31658057428657577
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,mae,0.41822393162551463
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,mse,0.3391288022507338
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,r2,0.13770980424869605
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,rho,0.30426695769348944
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,mae,0.4188493453673553
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,mse,0.3335605840967582
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,r2,0.15142863564708575
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,rho,0.30683986106772976
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,mae,0.4307353937422314
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,mse,0.3959484795475324
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,r2,0.1679978671799196
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,rho,0.38661983822350227
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,13,mae,0.40489505314024965
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,13,mse,0.3433552751880648
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,13,r2,0.1047209533325576
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,13,rho,0.3589207213371999
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,14,mae,0.4939833568161268
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,14,mse,0.5208209987560174
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,14,r2,0.024854253594144282
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,14,rho,0.2801659862534949
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,15,mae,0.4725937061278058
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,15,mse,0.4555609657973775
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,15,r2,0.08959372238758678
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,15,rho,0.2957613615889426
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,16,mae,0.3958957067037833
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,16,mse,0.3670776783014766
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,16,r2,0.1877832527029618
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,16,rho,0.3971146421289897
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,17,mae,0.4985895902087946
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,17,mse,0.41705244682011655
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,17,r2,0.016029211403392085
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,17,rho,0.27327533450810304
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,18,mae,0.48701937680209795
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,18,mse,0.43430619536638093
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,18,r2,0.05819045449891713
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,18,rho,0.2585858407613004
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,19,mae,0.40919972080345346
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,19,mse,0.3768113534472899
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,19,r2,-0.07713888429076499
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,19,rho,0.34529110205258406
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,20,mae,0.4152441418421427
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,20,mse,0.3564209143010828
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,20,r2,0.1886053661075724
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,20,rho,0.446216800990557
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,21,mae,0.42636212466497875
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,21,mse,0.4012321104489067
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,21,r2,0.10158545510243011
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,21,rho,0.33384812550014786
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,22,mae,0.4306494189395526
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,22,mse,0.3663710637510382
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,22,r2,0.12623452322023065
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,22,rho,0.23510611381886015
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,23,mae,0.43770283492306367
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,23,mse,0.44078114889168285
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,23,r2,0.09202485749131939
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,23,rho,0.36690213968296903
