model,fold,metric_name,value
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mae,0.0802307889841647
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mse,0.014537120345649971
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,r2,0.8557681494522741
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,rho,0.9276117085175006
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mae,0.08409915478985414
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mse,0.014886305744650302
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,r2,0.8476417695344345
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,rho,0.9198416910894749
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mae,0.0815867260237911
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mse,0.013867592668904371
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,r2,0.8620316915638042
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,rho,0.9306702726461242
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mae,0.08267025948386406
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mse,0.013922136827820146
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,r2,0.8535791236495887
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,rho,0.9242411420587037
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mae,0.07915530658103026
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mse,0.013293267260343846
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,r2,0.8584514830163444
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,rho,0.9273547517202498
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mae,0.08410667181743234
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mse,0.01431553922457149
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,r2,0.8544968627682124
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,rho,0.9228872228200462
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mae,0.0866307646437396
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mse,0.015012106023160991
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,r2,0.8465975697246753
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,rho,0.9232163013033433
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mae,0.08273725284420286
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mse,0.014807179317452838
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,r2,0.8455161811586567
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,rho,0.9220989945011638
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,0,mae,0.09517859410802694
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,0,mse,0.01886316571873065
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,0,r2,0.8128467513433588
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,0,rho,0.904530869468584
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,1,mae,0.1050681890488836
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,1,mse,0.02116054391709963
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,1,r2,0.7834262521407105
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,1,rho,0.8871674893919199
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,2,mae,0.1008000534027906
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,2,mse,0.020641800608450486
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,2,r2,0.7946352780168475
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,2,rho,0.8977364711787262
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,3,mae,0.09389128263359327
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,3,mse,0.01704362770004416
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,3,r2,0.8207500087886042
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,3,rho,0.9041435394902834
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,4,mae,0.0935119876325931
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,4,mse,0.016956738931147543
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,4,r2,0.819442338623314
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,4,rho,0.9063796825233649
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,5,mae,0.08982581144320069
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,5,mse,0.016229331105783958
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,5,r2,0.8350450825483531
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,5,rho,0.9102292042209016
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,6,mae,0.09378532281443341
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,6,mse,0.017652855580016398
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,6,r2,0.8196128549121691
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,6,rho,0.9063390758524492
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,7,mae,0.09641382373770199
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,7,mse,0.018968567918422788
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,7,r2,0.8021002685815095
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,7,rho,0.9005277143743832
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,8,mae,0.09595702018807702
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,8,mse,0.0188914121427998
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,8,r2,0.8051889837209778
fabikru/model_15M_smaller_ds_masking_0.3_predicted_hparams,8,rho,0.8997830898526331
