model,fold,metric_name,value
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mae,0.5919422808147612
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,mse,0.6093893629834797
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,r2,0.5781359591963475
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,0,rho,0.7378303192532337
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mae,0.5918461554958706
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,mse,0.6145536616541861
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,r2,0.5907542520091055
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,1,rho,0.7373561785886883
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mae,0.6522111129760743
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,mse,0.7227942532782845
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,r2,0.48640304442460913
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,2,rho,0.688968631453388
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mae,0.5931991288491657
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,mse,0.5875789185962814
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,r2,0.6058296413747869
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,3,rho,0.7658756051346045
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mae,0.62111983026777
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,mse,0.6666645424752223
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,r2,0.5211454591669111
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,4,rho,0.6973191118349922
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mae,0.6505271204312643
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,mse,0.7537113994835074
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,r2,0.4842814399866524
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,5,rho,0.6722153480084592
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mae,0.6784921334471021
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,mse,0.8248420721478172
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,r2,0.4341613456173229
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,6,rho,0.6579563574131466
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mae,0.588022801507087
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,mse,0.5892020723515365
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,r2,0.5646805080919337
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,7,rho,0.7196250686244258
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mae,0.6446523312159947
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,mse,0.7239887900897122
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,r2,0.49162152452999375
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,8,rho,0.6818839986562378
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,mae,0.7177999544427509
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,mse,0.8419550631103564
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,r2,0.4515458357730662
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,9,rho,0.6600681598711038
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,mae,0.6256778153919038
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,mse,0.7152062915972357
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,r2,0.5069934689951661
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,10,rho,0.6999441702279805
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,mae,0.6595296508357639
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,mse,0.7723393042395853
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,r2,0.4343633583980201
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,11,rho,0.6446267793075159
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,mae,0.5955116380964006
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,mse,0.6301031892372073
fabikru/model_15M_smallest_ds_masking_0.3_predicted_hparams,12,r2,0.5722391164523546
