method,fold,metric_name,value
Fixed_Hyperparameters,0,mae,0.5181403332664852
Fixed_Hyperparameters,0,mse,0.4782614881493863
Fixed_Hyperparameters,0,r2,0.6689122977735042
Fixed_Hyperparameters,0,rho,0.8058346014358718
Fixed_Hyperparameters,1,mae,0.5408424079985845
Fixed_Hyperparameters,1,mse,0.5150932024654831
Fixed_Hyperparameters,1,r2,0.6569873127749251
Fixed_Hyperparameters,1,rho,0.7848127821177059
Fixed_Hyperparameters,2,mae,0.49168962569463825
Fixed_Hyperparameters,2,mse,0.4245095074408078
Fixed_Hyperparameters,2,r2,0.6983556667121636
Fixed_Hyperparameters,2,rho,0.8273556279880905
Fixed_Hyperparameters,3,mae,0.4641804759843009
Fixed_Hyperparameters,3,mse,0.4039086576502386
Fixed_Hyperparameters,3,r2,0.7290426606554047
Fixed_Hyperparameters,3,rho,0.8526951790713769
Fixed_Hyperparameters,4,mae,0.4823026956830706
Fixed_Hyperparameters,4,mse,0.42968696154093405
Fixed_Hyperparameters,4,r2,0.6913626875869188
Fixed_Hyperparameters,4,rho,0.82255352306022
Fixed_Hyperparameters,5,mae,0.5005428118932814
Fixed_Hyperparameters,5,mse,0.45151110482085627
Fixed_Hyperparameters,5,r2,0.6910585975377133
Fixed_Hyperparameters,5,rho,0.7981360201583472
Fixed_Hyperparameters,6,mae,0.48534511611575176
Fixed_Hyperparameters,6,mse,0.45982059923877067
Fixed_Hyperparameters,6,r2,0.6845647452812331
Fixed_Hyperparameters,6,rho,0.8228163331910275
Fixed_Hyperparameters,7,mae,0.47398114587579454
Fixed_Hyperparameters,7,mse,0.3911597005787365
Fixed_Hyperparameters,7,r2,0.710999926678376
Fixed_Hyperparameters,7,rho,0.8283445755030159
Fixed_Hyperparameters,8,mae,0.5232863605590093
Fixed_Hyperparameters,8,mse,0.49617744328481245
Fixed_Hyperparameters,8,r2,0.6515886217679121
Fixed_Hyperparameters,8,rho,0.7967433157539321
Fixed_Hyperparameters,9,mae,0.490777876263573
Fixed_Hyperparameters,9,mse,0.43166098439999767
Fixed_Hyperparameters,9,r2,0.718813657876364
Fixed_Hyperparameters,9,rho,0.8378397227619435
Fixed_Hyperparameters,10,mae,0.49836211885724746
Fixed_Hyperparameters,10,mse,0.44304859558232107
Fixed_Hyperparameters,10,r2,0.6945974137240826
Fixed_Hyperparameters,10,rho,0.8159791876603785
Fixed_Hyperparameters,11,mae,0.5212743534928277
Fixed_Hyperparameters,11,mse,0.4957475111200163
Fixed_Hyperparameters,11,r2,0.6369303546599254
Fixed_Hyperparameters,11,rho,0.7907172516262321
Fixed_Hyperparameters,12,mae,0.489904393241519
Fixed_Hyperparameters,12,mse,0.4281021824987607
Fixed_Hyperparameters,12,r2,0.7093724155625465
Fixed_Hyperparameters,12,rho,0.830387077712558
Fixed_Hyperparameters,13,mae,0.5015146955421993
Fixed_Hyperparameters,13,mse,0.463577801085094
Fixed_Hyperparameters,13,r2,0.6733635603843338
Fixed_Hyperparameters,13,rho,0.8097306093946516
Fixed_Hyperparameters,14,mae,0.4944922424498059
Fixed_Hyperparameters,14,mse,0.4384824831534927
Fixed_Hyperparameters,14,r2,0.7123238253695482
Fixed_Hyperparameters,14,rho,0.8280080604288811
Fixed_Hyperparameters,15,mae,0.506240703037807
Fixed_Hyperparameters,15,mse,0.4564284548493279
Fixed_Hyperparameters,15,r2,0.6763458927907788
Fixed_Hyperparameters,15,rho,0.8040469105449767
Fixed_Hyperparameters,16,mae,0.49347894259861536
Fixed_Hyperparameters,16,mse,0.4283781220337953
Fixed_Hyperparameters,16,r2,0.7029286002033444
Fixed_Hyperparameters,16,rho,0.8196237590772196
Fixed_Hyperparameters,17,mae,0.5019307726905459
Fixed_Hyperparameters,17,mse,0.4513566872945344
Fixed_Hyperparameters,17,r2,0.7096065326500616
Fixed_Hyperparameters,17,rho,0.8360323700134692
Fixed_Hyperparameters,18,mae,0.493690132640657
Fixed_Hyperparameters,18,mse,0.433137938404952
Fixed_Hyperparameters,18,r2,0.6658962501572492
Fixed_Hyperparameters,18,rho,0.813541073626418
Fixed_Hyperparameters,19,mae,0.5014447733617965
Fixed_Hyperparameters,19,mse,0.46085018656211685
Fixed_Hyperparameters,19,r2,0.6975279675887691
Fixed_Hyperparameters,19,rho,0.8245586369211678
Fixed_Hyperparameters,20,mae,0.4976043095475151
Fixed_Hyperparameters,20,mse,0.44824357482353394
Fixed_Hyperparameters,20,r2,0.6882251764270155
Fixed_Hyperparameters,20,rho,0.8228821657701801
Fixed_Hyperparameters,21,mae,0.5267913142556236
Fixed_Hyperparameters,21,mse,0.4857400406314505
Fixed_Hyperparameters,21,r2,0.649902564752157
Fixed_Hyperparameters,21,rho,0.7918116037544813
Fixed_Hyperparameters,22,mae,0.5107780947004046
Fixed_Hyperparameters,22,mse,0.46151081065182115
Fixed_Hyperparameters,22,r2,0.6916671755213014
Fixed_Hyperparameters,22,rho,0.8076225259257295
Fixed_Hyperparameters,23,mae,0.5074836047490437
Fixed_Hyperparameters,23,mse,0.47050798855407433
Fixed_Hyperparameters,23,r2,0.6857613476287951
Fixed_Hyperparameters,23,rho,0.8117586942009336
Fixed_Hyperparameters,24,mae,0.5093904104686919
Fixed_Hyperparameters,24,mse,0.48494899242264333
Fixed_Hyperparameters,24,r2,0.6588062311540737
Fixed_Hyperparameters,24,rho,0.8091971529793934
